"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","Тест-кейс №85","0","","0","0","","0"
"0","Тест-кейс №58","0","","1","0","","0"
"0","Тест-кейс №15","0","","1","0","","0"
"0","Тест-кейс №59","0","","1","0","","0"
"0","Тест-кейс №79","0","","1","0","","0"
"0","Тест-кейс №224","0","","1","0","","0"
"0","Тест-кейс №71","0","","1","0","","0"
"0","Тест-кейс №50","0","","1","0","","0"
"0","Тест-кейс №9","0","","1","0","","0"
"1","Тест-кейс №25","0","","0","0","","0"
"0","Тест-кейс №228","0","","1","0","","0"
"0","Тест-кейс №52","0","","1","0","","0"
"0","Тест-кейс №76","0","","1","0","","0"
"0","Тест-кейс №226","0","","1","0","","0"
"0","Тест-кейс №75","0","","1","0","","0"
"0","Тест-кейс №78","0","","1","0","","0"
"0","Тест-кейс №27","0","","1","0","","0"
"0","Тест-кейс №7","0","","1","0","","0"
"0","Тест-кейс №80","0","","1","0","","0"
"0","Тест-кейс №309","0","","1","0","","0"
"0","Тест-кейс №81","0","","1","0","","0"
"0","Тест-кейс №66","0","","1","0","","0"
"0","Тест-кейс №28","0","","1","0","","0"
"0","Тест-кейс №72","0","","1","0","","0"
"0","Тест-кейс №49","0","","1","0","","0"
"0","Тест-кейс №33","0","","1","0","","0"
"0","Тест-кейс №63","1","","0","0","","0"
"0","Тест-кейс №45","0","","1","0","","0"
"0","Тест-кейс №227","0","","1","0","","0"
"0","Тест-кейс №34","0","","1","0","","0"
"0","Тест-кейс №83","0","","1","0","","0"
"0","Тест-кейс №14","0","","1","0","","0"
"0","Тест-кейс №56","0","","1","0","","0"
"0","Тест-кейс №36","0","","1","0","","0"
"0","Тест-кейс №223","0","","1","0","","0"
"1","Тест-кейс №13","0","","0","0","","0"
"0","Тест-кейс №55","0","","1","0","","0"
"0","Тест-кейс №225","0","","1","0","","0"
"0","Тест-кейс №69","0","","1","0","","0"
"1","Тест-кейс №40","0","","0","0","","0"
"0","Тест-кейс №10","0","","1","0","","0"
"0","Тест-кейс №77","0","","1","0","","0"
"0","Тест-кейс №31","0","","1","0","","0"
"0","Тест-кейс №88","0","","1","0","","0"
"0","Тест-кейс №11","0","","1","0","","0"
"0","Тест-кейс №8","0","","1","0","","0"
"0","Тест-кейс №82","0","","1","0","","0"
